customerDomain,Product,skuName,Creation date (PST),status,planName,Renewal date (PST),licensedNumberOfSeats,maximumNumberOfSeats,Customer uid,customerId,subscriptionId
platinummetals.ae,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,5,5,ShlbnXVKD5bWlf,C03433ok6,3666663832
pnnmayurvedacollege.com,Google Workspace,Google Workspace Enterprise Standard,"November 6, 2020",Suspended,Flexible Plan,-,1,1,SefmVu2ff8gmJh,C02vx5zuj,2153054944
pocketcar.net,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SBG3CqUOIlPqY0,C03juqopz,3667671260
popularsteels.com,-,-,-,-,-,-,0,0,SvNeq2p24Qa9oh,C037nh52s,-
porschehomes.in,Google Workspace,G Suite Basic,"October 25, 2018",Suspended,Trial Plan,-,3,3,SbdKvx8BxcSUKp,C04bgu6j9,412756784
powercontrolsolutions.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SxsbmOf1TiYZMd,C00vh5kme,3667425392
powerlinesolutions.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,96,96,SYn2zK0OIWijUP,C01o76gy1,3666952377
powerlinesolutions.net,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,23,23,Sgb1iWOduNMRWv,C01w1hybf,3667706122
prajaahita.org,Google Workspace,Google Workspace Business Starter,"December 16, 2021",Suspended,Flexible Plan,-,14,300,Su7y5n2C3QYwgw,C0289fp6z,3400320999
pranavamresort.com,Google Workspace,Google Workspace Business Starter,"December 2, 2021",Active,Flexible Plan,-,1,1,SG4ZNPQ5oM7j77,C041k7us9,3357791796
primalcodes.com,Google Workspace,G Suite Basic,"March 20, 2019",Suspended,Trial Plan,-,1,1,SYQbWZNdPOlxHM,C03u559v4,670895063
primeedgeuae.com,Google Workspace,Google Workspace Business Starter,"March 4, 2021",Active,Flexible Plan,-,1,1,SyCwWwlN3tMEbf,C02g2d212,2560488462
primeparrot.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SxgFIe3xGapH7A,C02qq8wfo,3667497788
proaims.com,-,-,-,-,-,-,0,0,SY2OszJ1cPzfMn,C0227bl1m,-
proaims.in,Google Workspace,G Suite Basic,"November 4, 2019",Suspended,Flexible Plan,-,2,16,S9LWnIeP2gwzag,C040hm4lp,1107817013
propertysahayavani.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,2,2,SepModAR8zSP0a,C03031db9,3666507418
protosgroup.com,Google Workspace,Google Workspace Business Starter,"July 27, 2021",Active,Flexible Plan,-,19,300,SNql5vu3WszlEL,C02bf81wp,2992047115
